Name	GR
YBR273C	0.342
YIR030C	0.342
YKL051W	0.342
YOR297C	0.342
YDR344C	0.342
YOL141W	0.342
YOR325W	0.342
YLL058W	0.342
YHR181W	0.342
YBR297W	0.342
YPL140C	0.342
YJL066C	0.342
YKL102C	0.342
YMR062C	0.342
YDR034C	0.342
YJL079C	0.342
YCR067C	0.342
YOL017W	0.342
YOL085C	0.342
YBR030W	0.342
YDR536W	0.342
YPR029C	0.342
YLR345W	0.342
YOL092W	0.342
YKL197C	0.342
YKR055W	0.342
YBR065C	0.342
YOR105W	0.342
YOR049C	0.342
YBR182C	0.342
YFL010C	0.342
YBL043W	0.342
YDR518W	0.342
YGL179C	0.342
YPL198W	0.342
YMR306W	0.342
YAL037W	0.342
YBL029W	0.342
YGL175C	0.342
YDR304C	0.342
YDR148C	0.342
YLR227C	0.342
YDL203C	0.342
YDR461W	0.342
YJR009C	0.342
YKL069W	0.342
YOR112W	0.342
YNL187W	0.342
YJL216C	0.342
YPL249C	0.342
YOL031C	0.342
YGR254W	0.342
YEL039C	0.342
YFR016C	0.342
YMR016C	0.342
YKL171W	0.342
YMR311C	0.342
YKL090W	0.342
YHR017W	0.342
YLR206W	0.342
YPR027C	0.342
YGR291C	0.342
YOR011W	0.342
YIL050W	0.342
YML113W	0.341
YLR376C	0.341
YOR317W	0.341
YAR029W	0.341
YDR530C	0.341
YPR054W	0.341
YMR170C	0.341
YDR144C	0.341
YFR020W	0.341
YDL025C	0.341
YMR084W	0.341
YPL155C	0.341
YDL149W	0.341
YPR200C	0.341
YDL218W	0.341
YJR152W	0.341
YPL111W	0.341
YJR124C	0.341
YAR031W	0.341
YLR390W	0.341
YBR261C	0.341
YER048C	0.341
YIR032C	0.341
YKL218C	0.341
YLL030C	0.341
YAR027W	0.341
YMR215W	0.341
YDR291W	0.341
YDR371W	0.341
YDR231C	0.341
YPL133C	0.341
YJR142W	0.341
YBR213W	0.341
YDR316W	0.341
YMR052W	0.341
YDL112W	0.341
YJL204C	0.341
YCR073C	0.341
YBR027C	0.341
YJR120W	0.341
YPL014W	0.341
YLR097C	0.341
YEL033W	0.341
YDR307W	0.341
YDL106C	0.341
